age,gender,tenure_months,monthly_spend,visits_per_month,contract_type,support_tickets,churn
22,Female,1,120.35,8.34,quarterly,2,0
55,Male,28,54.39,8.55,monthly,1,0
49,Female,36,76.41,13.85,monthly,0,0
39,Female,27,51.48,4.19,monthly,1,1
38,Female,19,59.45,7.92,annual,0,0
59,Female,40,62.4,8.91,monthly,1,0
22,Female,18,53.86,5.79,annual,2,0
51,Female,35,53.96,8.08,annual,1,0
27,Male,23,72.11,3.2,monthly,1,0
22,Female,2,50.67,12.23,quarterly,1,0
43,Female,26,91.84,5.96,quarterly,1,0
64,Female,3,56.64,14.09,monthly,0,1
53,Male,45,131.19,7.9,monthly,3,1
54,Female,29,65.97,11.08,quarterly,0,0
52,Male,18,76.44,7.84,quarterly,1,0
55,Male,24,49.09,7.91,quarterly,3,1
42,Female,30,109.12,6.25,annual,2,0
24,Female,13,97.39,8.36,monthly,1,0
58,Female,14,80.94,8.95,quarterly,2,0
39,Male,21,48.06,5.65,annual,2,0
42,Female,13,79.21,7.62,monthly,1,0
35,Female,37,52.57,6.17,monthly,1,0
26,Female,5,104.25,14.9,monthly,2,1
62,Female,40,91.18,7.73,annual,0,0
55,Male,17,76.91,12.64,monthly,2,0
48,Female,27,26.27,7.41,quarterly,0,0
37,Male,8,55.33,8.78,monthly,2,0
57,Female,19,88.76,4.04,monthly,0,1
44,Male,37,99.26,6.66,quarterly,1,0
39,Male,13,97.18,8.63,monthly,0,0
39,Female,7,43.16,12.76,annual,0,0
28,Female,26,81.03,8.67,monthly,2,0
22,Female,8,95.31,12.15,annual,2,0
44,Female,16,41.83,9.92,monthly,2,0
60,Female,22,74.84,12.88,annual,3,0
21,Male,28,80.48,7.82,quarterly,1,0
59,Male,31,68.98,15.17,monthly,2,0
57,Male,33,37.96,6.54,monthly,1,1
31,Male,41,68.49,5.7,monthly,0,0
48,Male,4,68.45,4.37,quarterly,3,1
25,Female,18,72.04,14.99,quarterly,1,0
54,Female,1,63.73,10.46,monthly,3,1
51,Female,1,66.14,7.0,monthly,1,1
35,Male,11,74.21,11.75,quarterly,1,0
21,Female,29,83.85,10.06,monthly,2,0
64,Female,43,68.91,13.9,quarterly,1,0
39,Female,38,66.81,3.36,monthly,0,1
60,Male,32,76.85,7.2,quarterly,2,0
50,Male,38,36.58,6.61,annual,0,0
55,Female,9,84.54,2.08,monthly,1,1
54,Male,41,74.99,11.18,monthly,1,0
27,Male,43,75.79,7.19,monthly,0,0
35,Male,5,94.21,10.22,quarterly,1,0
40,Female,23,35.94,15.08,monthly,0,0
41,Female,40,35.52,6.94,annual,2,0
20,Male,23,80.48,6.74,quarterly,0,0
44,Male,41,74.86,8.36,monthly,5,1
25,Female,45,78.4,10.96,quarterly,1,0
53,Female,23,65.76,6.3,monthly,3,1
50,Female,3,88.29,6.11,quarterly,2,0
62,Male,17,93.65,11.17,monthly,2,1
53,Female,11,84.68,9.14,quarterly,3,0
35,Male,23,69.78,1.87,annual,2,0
64,Female,29,32.85,4.32,quarterly,0,0
37,Male,23,90.38,12.5,annual,4,0
33,Male,10,99.43,9.21,monthly,2,0
61,Male,15,87.89,5.71,quarterly,0,0
35,Male,33,57.41,7.49,quarterly,1,0
21,Female,2,88.48,8.04,quarterly,2,0
40,Male,11,92.21,10.21,monthly,2,1
56,Male,43,106.18,3.93,monthly,0,1
27,Male,5,57.48,5.48,quarterly,1,0
40,Female,20,70.47,8.82,monthly,2,0
24,Female,10,89.95,7.7,quarterly,3,0
50,Female,6,76.15,9.72,quarterly,1,0
40,Female,21,52.65,4.31,annual,0,0
33,Female,26,83.29,9.07,monthly,1,0
28,Female,9,86.57,11.27,annual,0,0
45,Male,4,76.76,9.46,monthly,1,0
50,Female,7,79.39,8.42,monthly,1,0
63,Female,32,69.83,7.71,quarterly,1,0
38,Female,42,104.57,5.5,monthly,2,0
25,Male,9,56.99,7.78,monthly,1,0
57,Female,16,63.25,11.78,monthly,1,0
48,Male,17,75.22,7.64,monthly,1,0
51,Male,18,92.58,5.33,quarterly,2,0
22,Female,12,45.05,6.52,monthly,1,0
32,Male,3,48.79,8.6,monthly,0,1
54,Male,26,34.25,6.88,quarterly,2,0
57,Female,18,75.65,9.46,monthly,2,0
38,Male,17,52.63,9.57,quarterly,1,0
56,Female,13,67.31,10.67,annual,0,0
58,Male,45,88.23,12.27,quarterly,1,0
36,Male,30,62.17,10.99,annual,5,0
61,Female,21,79.63,5.2,monthly,3,1
31,Female,10,69.01,5.29,quarterly,2,0
29,Male,39,88.44,7.77,monthly,2,0
50,Female,43,84.5,6.65,monthly,1,0
48,Female,2,61.16,4.59,quarterly,0,0
24,Male,45,71.63,6.67,monthly,0,1
57,Female,34,95.87,6.58,annual,0,0
27,Male,5,82.87,5.98,quarterly,3,0
56,Female,37,47.06,7.05,annual,3,0
18,Female,6,88.11,11.54,monthly,0,0
56,Female,3,53.31,8.6,monthly,2,1
55,Female,6,103.25,15.42,quarterly,1,0
55,Male,23,95.48,8.51,monthly,0,0
49,Male,30,80.8,7.13,monthly,2,0
40,Male,20,78.14,8.01,quarterly,2,0
51,Female,6,70.82,8.77,annual,4,0
31,Female,10,88.57,9.31,quarterly,0,0
55,Male,41,67.58,14.23,monthly,0,0
44,Female,47,79.71,5.46,monthly,2,0
40,Female,37,92.44,10.58,quarterly,0,0
42,Female,5,63.76,8.62,monthly,1,1
45,Male,40,62.68,3.29,monthly,0,1
19,Female,34,51.11,10.31,monthly,4,1
24,Female,26,53.71,11.8,monthly,2,1
29,Male,7,38.43,5.43,monthly,3,0
23,Male,48,89.6,7.97,monthly,4,1
39,Male,22,111.18,2.82,quarterly,4,1
50,Male,3,103.51,4.22,monthly,0,1
49,Female,11,42.48,11.14,quarterly,0,0
40,Female,20,89.5,6.6,monthly,3,1
59,Female,3,103.44,4.67,annual,2,1
45,Male,16,65.86,8.69,monthly,0,1
21,Female,23,77.03,6.43,monthly,1,0
54,Male,46,34.84,6.59,monthly,1,0
45,Female,5,80.33,10.22,monthly,0,1
48,Male,28,53.73,4.51,monthly,0,1
45,Male,44,78.99,5.28,quarterly,4,0
44,Female,39,43.78,8.46,annual,1,0
22,Male,45,85.86,10.91,monthly,2,0
44,Female,9,95.49,11.71,monthly,1,0
56,Female,39,59.34,6.0,quarterly,1,0
32,Female,47,52.26,10.81,quarterly,0,0
46,Female,16,31.88,5.65,monthly,3,1
19,Male,24,69.67,13.48,quarterly,4,0
34,Female,26,63.37,4.6,monthly,4,1
38,Male,24,43.98,11.99,quarterly,2,0
65,Female,14,84.06,6.03,monthly,0,0
28,Male,47,66.0,14.04,monthly,3,1
31,Male,46,53.49,9.77,monthly,2,1
37,Female,19,63.91,4.95,quarterly,3,0
65,Male,39,96.43,6.43,monthly,3,1
58,Female,20,87.06,10.34,quarterly,2,0
19,Female,39,72.4,11.16,quarterly,3,0
29,Female,29,87.38,7.79,quarterly,1,0
57,Female,23,51.78,8.13,monthly,1,0
20,Female,7,75.65,10.28,monthly,3,1
59,Male,32,77.95,8.4,monthly,1,0
31,Male,16,65.6,4.12,quarterly,1,0
62,Male,11,83.71,5.56,annual,3,0
32,Female,10,59.39,8.71,monthly,1,0
38,Male,48,85.2,11.65,annual,1,0
49,Male,5,86.04,12.85,monthly,2,0
24,Male,39,20.0,10.34,monthly,0,0
44,Male,42,98.81,8.86,monthly,1,0
42,Male,2,20.0,10.25,quarterly,1,0
